Active,Case-Fatality_Ratio,Confirmed,Deaths,Incidence_Rate,Recovered,date
,,,,,,2020-01-22
,,,,,,2020-01-23
,,,,,,2020-01-24
,,1,,,,2020-01-25
,,1,,,,2020-01-26
,,1,,,,2020-01-27
,,1,,,,2020-01-28
,,1,,,,2020-01-29
,,1,,,,2020-01-30
,,1,,,,2020-01-31
,,1,0,,0,2020-02-01
,,1,0,,0,2020-02-02
,,1,0,,0,2020-02-03
,,1,0,,0,2020-02-04
,,1,0,,0,2020-02-05
,,1,0,,0,2020-02-06
,,1,0,,0,2020-02-07
,,1,0,,0,2020-02-08
,,1,0,,0,2020-02-09
,,1,0,,0,2020-02-10
,,1,0,,0,2020-02-11
,,1,0,,1,2020-02-12
,,1,0,,1,2020-02-13
,,1,0,,1,2020-02-14
,,1,0,,1,2020-02-15
,,1,0,,1,2020-02-16
,,1,0,,1,2020-02-17
,,1,0,,1,2020-02-18
,,1,0,,1,2020-02-19
,,1,0,,1,2020-02-20
,,1,0,,1,2020-02-21
,,1,0,,1,2020-02-22
,,1,0,,1,2020-02-23
,,1,0,,1,2020-02-24
,,1,0,,1,2020-02-25
,,1,0,,1,2020-02-26
,,1,0,,1,2020-02-27
,,1,0,,1,2020-02-28
,,1,0,,1,2020-02-29
,,1,0,,1,2020-03-01
,,1,0,,1,2020-03-02
,,1,0,,1,2020-03-03
,,1,0,,1,2020-03-04
,,1,0,,1,2020-03-05
,,1,0,,1,2020-03-06
,,1,0,,1,2020-03-07
,,1,0,,1,2020-03-08
,,1,0,,1,2020-03-09
,,1,0,,1,2020-03-10
,,1,0,,1,2020-03-11
,,1,0,,1,2020-03-12
,,1,0,,1,2020-03-13
,,1,0,,1,2020-03-14
,,1,0,,1,2020-03-15
,,1,0,,1,2020-03-16
,,1,0,,1,2020-03-17
,,1,0,,1,2020-03-18
,,1,0,,1,2020-03-19
,,1,0,,1,2020-03-20
,,1,0,,1,2020-03-21
0,,1,0,,1,2020-03-22
1,,2,0,,1,2020-03-23
1,,2,0,,1,2020-03-24
2,,3,0,,1,2020-03-25
2,,3,0,,1,2020-03-26
3,,4,0,,1,2020-03-27
4,,5,0,,1,2020-03-28
4,,5,0,,1,2020-03-29
4,,5,0,,1,2020-03-30
4,,5,0,,1,2020-03-31
4,,5,0,,1,2020-04-01
5,,6,0,,1,2020-04-02
5,,6,0,,1,2020-04-03
8,,9,0,,1,2020-04-04
8,,9,0,,1,2020-04-05
8,,9,0,,1,2020-04-06
8,,9,0,,1,2020-04-07
8,,9,0,,1,2020-04-08
8,,9,0,,1,2020-04-09
8,,9,0,,1,2020-04-10
8,,9,0,,1,2020-04-11
11,,12,0,,1,2020-04-12
13,,14,0,,1,2020-04-13
15,,16,0,,1,2020-04-14
15,,16,0,,1,2020-04-15
14,,16,0,,2,2020-04-16
28,,30,0,,2,2020-04-17
29,,31,0,,2,2020-04-18
27,,31,0,,4,2020-04-19
27,,31,0,,4,2020-04-20
39,,43,0,,4,2020-04-21
38,,45,0,,7,2020-04-22
38,,48,0,,10,2020-04-23
38,,49,0,,11,2020-04-24
37,,49,0,,12,2020-04-25
36,,52,0,,16,2020-04-26
36,,52,0,,16,2020-04-27
38,,54,0,,16,2020-04-28
41,,57,0,,16,2020-04-29
41,,57,0,,16,2020-04-30
43,,59,0,,16,2020-05-01
43,,59,0,,16,2020-05-02
59,,75,0,,16,2020-05-03
59,,75,0,,16,2020-05-04
66,,82,0,,16,2020-05-05
77,,99,0,,22,2020-05-06
79,,101,0,,22,2020-05-07
71,,102,0,,31,2020-05-08
79,,110,0,,31,2020-05-09
79,,110,0,,31,2020-05-10
101,,134,0,,33,2020-05-11
184,,217,0,,33,2020-05-12
215,,250,0,,35,2020-05-13
214,,249,0,,35,2020-05-14
231,,267,0,,36,2020-05-15
254,,291,1,,36,2020-05-16
257,,295,2,,36,2020-05-17
337,,375,2,,36,2020-05-18
363,,402,2,,37,2020-05-19
380,,427,2,,45,2020-05-20
405,,457,3,,49,2020-05-21
443,,516,3,,70,2020-05-22
511,,584,3,,70,2020-05-23
513,,603,3,,87,2020-05-24
566,,682,4,,112,2020-05-25
613,,772,4,,155,2020-05-26
699,,886,4,,183,2020-05-27
850,,1042,5,,187,2020-05-28
1000,0.4950495049504951,1212,6,4.159686949922587,206,2020-05-29
1176,0.4282655246252677,1401,6,4.808351003994671,219,2020-05-30
1344,0.5089058524173028,1572,8,5.395237529107512,220,2020-05-31
1582,0.4417448923246825,1811,8,6.215505830288618,221,2020-06-01
1825,0.3811338732729872,2099,8,7.203946293636558,266,2020-06-02
2013,0.39130434782608703,2300,9,7.893795367014808,278,2020-06-03
2334,0.37965072133637057,2634,10,9.040111737703043,290,2020-06-04
2568,0.3777472527472528,2912,11,9.994231351629184,333,2020-06-05
2857,0.40185471406491496,3235,13,11.102794787953437,365,2020-06-06
2968,0.377030162412993,3448,13,11.833828880637851,467,2020-06-07
3260,0.3721424774056353,3762,14,12.911503552482483,488,2020-06-08
3487,0.3671071953010279,4086,15,14.023499073748916,584,2020-06-09
3675,0.3437213565536205,4364,15,14.977618687675054,674,2020-06-10
3738,0.3250975292587776,4614,15,15.83563992322014,861,2020-06-11
4169,0.3160806005531411,5062,16,17.37321397731694,877,2020-06-12
4404,0.3373945641986879,5335,18,18.31017316653217,913,2020-06-13
4767,0.3298611111111111,5760,19,19.768809266958822,974,2020-06-14
5151,0.3059088713572693,6211,19,21.316679575882162,1041,2020-06-15
5414,0.288271885905022,6591,19,22.620871853910693,1158,2020-06-16
5990,0.2786679671171799,7177,20,24.632073630028387,1167,2020-06-17
6640,0.2803261977573904,7848,22,26.935002626231398,1186,2020-06-18
6850,0.2658931592941745,8274,22,28.397070811600226,1402,2020-06-19
7005,0.2556653108657757,8605,22,29.533090927461924,1578,2020-06-20
7231,0.2548194105916242,9026,23,30.97799868811985,1772,2020-06-21
7390,0.2405606108147683,9561,23,32.81416413218634,2148,2020-06-22
7851,0.2376472918110704,10099,24,34.66062583107937,2224,2020-06-23
8366,0.22371364653243847,10728,24,36.819407259710815,2338,2020-06-24
8486,0.23293316609926534,11162,26,38.30893212461707,2650,2020-06-25
9030,0.2296894938324117,11755,27,40.344158495330035,2698,2020-06-26
9447,0.2274758306929889,12309,28,42.245533553297946,2834,2020-06-27
9731,0.2192295646727216,12772,28,43.83458888152745,3013,2020-06-28
10085,0.21890096620000002,13248,29,45.4682613140053,3134,2020-06-29
10341,0.21380123857269245,13564,29,46.55280015573429,3194,2020-06-30
9360,0.21358393848782573,14046,30,48.20706509786522,4656,2020-07-01
9168,0.21351332736414352,14519,31,49.83044127551652,5320,2020-07-02
9084.0,0.20971230093715185,15259,32,52.37018413272998,6143,2020-07-03
9042.0,0.21948228003356787,15491,34,53.16642783931582,6415,2020-07-04
9203.0,0.21540800810947794,15784,34,54.17202872737466,6547,2020-07-05
9118.0,0.2192432974191932,15964,35,54.78980401696713,6811,2020-07-06
8634.0,0.21647699158832265,16168,35,55.48994934517192,7499,2020-07-07
8636.0,0.2131157522986056,16423,35,56.365131005427905,7752,2020-07-08
8605.0,0.21172342870969693,16531,35,56.73579617918339,7891,2020-07-09
8603.0,0.2102228362063788,16649,35,57.14078220236067,8011,2020-07-10
8239.0,0.22728632095221005,16719,38,57.38102814831329,8442,2020-07-11
8174.0,0.22617701327301945,16801,38,57.66245911357208,8589,2020-07-12
6613.0,0.2242549424609029,16945,38,58.15667934524605,10294,2020-07-13
6695.0,0.22273020338784366,17061,38,58.55480119853898,10328,2020-07-14
6113.0,0.2270477964720265,17177,39,58.952923051831895,11025,2020-07-15
6056.0,0.22486162361623616,17344,39,59.52608123717603,11249,2020-07-16
5871.0,0.2292920607623961,17445,40,59.87272181633623,11534,2020-07-17
5825.0,0.22854530910753054,17502,40,60.06835065804051,11637,2020-07-18
5923.0,0.2265262204100125,17658,40,60.60375590902064,11695,2020-07-19
5936.0,0.224164985429276,17844,40,61.24212370826619,11868,2020-07-20
5477.0,0.22229632099588756,17994,40,61.75693644959324,12477,2020-07-21
5368.0,0.23212114513098264,18094,42,62.10014494381128,12684,2020-07-22
5358.0,0.2357326900937449,18241,43,62.604661430311786,12840,2020-07-23
5383.0,0.2394688146293676,18374,44,63.061128727621785,12947,2020-07-24
5385.0,0.24346696964778444,18483,45,63.43522598631944,13053,2020-07-25
5440.0,0.24176650727985816,18613,45,63.88139702880288,13128,2020-07-26
4950.0,0.25597269624573377,18752,48,64.35845683576595,13754,2020-07-27
5139.0,0.2570424382311284,19063,49,65.42583525278404,13875,2020-07-28
5203.0,0.25424168525917085,19273,49,66.14657309064191,14021,2020-07-29
5247.0,0.2660254770553026,19547,52,67.08696436479933,14248,2020-07-30
5316.0,0.2832431338829599,19771,56,67.85575139184772,14399,2020-07-31
5538.0,0.27880115503335656,20086,56,68.93685814863454,14492,2020-08-01
5672.0,0.2803462522132599,20332,57,69.78115104441089,14603,2020-08-02
5732.0,0.2746987951807229,20750,57,71.2157625502423,14961,2020-08-03
5925.0,0.2760721595506688,21009,58,72.104672550267,15026,2020-08-04
6174.0,0.2805049088359046,21390,60,73.41229691323771,15156,2020-08-05
6296.0,0.2988505747126437,21750,65,74.64784749242264,15389,2020-08-06
6330.0,0.3151165931394616,22214,70,76.24033490559431,15814,2020-08-07
6206.0,0.3231232294617564,22592,73,77.5376630137385,16313,2020-08-08
6544.0,0.32648441581055204,22972,75,78.84185529176703,16353,2020-08-09
6738.0,0.3389103389103389,23310,79,80.00190000222399,16493,2020-08-10
7201.0,0.3465842659094705,23948,83,82.19157019533506,16664,2020-08-11
7613.0,0.37246234446627374,24432,91,83.85269930735033,16728,2020-08-12
8025.0,0.3806547261289418,24957,95,85.65454390199503,16837,2020-08-13
8375.0,0.3874603733709053,25551,99,87.69320235765016,17077,2020-08-14
8716.0,0.3920212152657673,26019,102,89.29941811059055,17201,2020-08-15
9221.0,0.3900975243810953,26660,104,91.49938455852816,17335,2020-08-16
9639.0,0.39279027935832017,27241,107,93.49342590993496,17495,2020-08-17
10563.0,0.40343985600000004,28257,114,96.98042421,17580,2020-08-18
11118.0,0.4146796599626788,28938,120,99.317674056815,17700,2020-08-19
11555.0,0.4250295159386068,29645,126,101.74415811093651,17964,2020-08-20
12132.0,0.4494308302988551,30483,137,104.62024529248363,18214,2020-08-21
12621.0,0.4691969020149757,31117,146,106.796187145826,18350,2020-08-22
13155.0,0.4665727258493815,31935,149,109.60363262852951,18631,2020-08-23
13715.0,0.4804455597037762,32678,157,112.15367174056952,18806,2020-08-24
14250.0,0.4890704678972952,33533,164,115.08810436613373,19119,2020-08-25
14739.0,0.5084548782613748,34418,175,118.12549953996333,19504,2020-08-26
15273.0,0.5150721945453011,35529,183,121.93854591072572,20073,2020-08-27
16019.0,0.5348913759052007,36456,195,125.12008865212692,20242,2020-08-28
16578.0,0.5543652919121586,37340,207,128.15405174101429,20555,2020-08-29
17518.0,0.5731179170664661,38561,221,132.34462745541654,20822,2020-08-30
17822.0,0.5778003041054233,39460,228,135.43007181843666,21410,2020-08-31
18112.0,0.5897012016087246,40529,239,139.09897062162747,22178,2020-09-01
18108.0,0.6026555259429999,41649,251,142.94290575686946,23290,2020-09-02
18413.0,0.5993889497865988,42877,257,147.1575060658669,24207,2020-09-03
18404.0,0.6126232028212316,44236,271,151.82170950229005,25561,2020-09-04
17870.0,0.6184155310643373,45277,280,155.39450992709973,27127,2020-09-05
17027.0,0.6247703050349136,46257,289,158.7579531704365,28941,2020-09-06
16259.0,0.6351088153103565,47236,300,162.1179643288311,30677,2020-09-07
14868.0,0.6356724417300261,48138,306,165.21370494667775,32964,2020-09-08
15025.0,0.6339015420874052,49219,312,168.92378876917468,33882,2020-09-09
14448.0,0.6281581293966115,50465,317,173.20016660713142,35700,2020-09-10
14925.0,0.6201968450856141,51919,322,178.19041811306167,36672,2020-09-11
15260.0,0.6325301204819277,53120,336,182.31235212862026,37524,2020-09-12
15117.0,0.637013239,54159,345,185.8782884,38697,2020-09-13
15393.0,0.6506533644201052,55329,360,189.89382776589667,39576,2020-09-14
15779.0,0.6533070366978939,56788,371,194.90123969653786,40638,2020-09-15
16242.0,0.649784834,58327,379,200.18321840000002,41706,2020-09-16
16241.0,0.6429087,59573,383,204.45959630000002,42949,2020-09-17
17383.0,0.633188836,61593,390,211.39240780000003,43820,2020-09-18
17129.0,0.6385655370000001,62797,401,215.5246381,45267,2020-09-19
17478.0,0.640965659,64122,411,220.07215069999998,46233,2020-09-20
17611.0,0.654145475,65276,427,224.0327767,47238,2020-09-21
18142.0,0.643834794,66632,429,228.68668390000002,48061,2020-09-22
17414.0,0.64302991,67804,436,232.7090874,49954,2020-09-23
18437.0,0.653670221,69301,453,237.84691859999998,50411,2020-09-24
18289.0,0.650012745,70614,459,242.3532461,51866,2020-09-25
18341.0,0.650227649,71821,467,246.49577259999998,53013,2020-09-26
19019.0,0.649916887,73394,477,251.8944422,53898,2020-09-27
19624.0,0.6435213057729614,74745,481,256.5311890032704,54640,2020-09-28
20396.0,0.6438668729838181,76258,491,261.72393352078916,55371,2020-09-29
20891.0,0.6399629900921392,77817,498,267.0745539456484,56428,2020-09-30
21830.0,0.6384206301424844,79728,509,273.63326827015504,57389,2020-10-01
21234.0,0.6306852637962401,82450,520,282.97540348277,60696,2020-10-02
21302.0,0.6243348705214615,84570,528,290.2514235601924,62740,2020-10-03
